,timestamp_from_machine,SER,TS,TS_R,PRES,HR,HR_DM,RR,RR_DM,ACT,ACT_DM,FW,END
65,1544882841.6152105,002020,1544882840,577,0,0,0,0.0,0,0,0,t120,1
66,1544882842.6587453,002020,1544882841,578,0,0,0,0.0,0,0,0,t120,1
67,1544882843.696853,002020,1544882842,579,0,0,0,0.0,0,0,0,t120,1
68,1544882844.738969,002020,1544882843,580,0,0,0,0.0,0,0,0,t120,1
69,1544882845.7823365,002020,1544882844,581,0,0,0,0.0,0,0,0,t120,1
70,1544882846.8189285,002020,1544882845,582,0,0,0,0.0,0,0,0,t120,1
71,1544882847.8839967,002020,1544882847,584,0,0,0,0.0,0,0,0,t120,1
72,1544882848.9186924,002020,1544882848,585,0,0,0,0.0,0,0,0,t120,1
73,1544882850.7255955,002020,1544882849,586,0,0,0,0.0,0,0,0,t120,1
74,1544882851.7668939,002020,1544882850,587,0,0,0,0.0,0,0,0,t120,1
75,1544882852.8094728,002020,1544882851,588,0,0,0,0.0,0,0,0,t120,1
76,1544882853.8503432,002020,1544882853,590,0,0,0,0.0,0,0,0,t120,1
77,1544882854.8815901,002020,1544882854,591,0,0,0,0.0,0,0,0,t120,1
78,1544882855.9569123,002020,1544882855,592,0,0,0,0.0,0,0,0,t120,1
79,1544882856.9925263,002020,1544882856,593,0,0,0,0.0,0,0,0,t120,1
80,1544882858.0330226,002020,1544882857,594,0,0,0,0.0,0,0,0,t120,1
81,1544882859.0744715,002020,1544882858,595,0,0,0,0.0,0,0,0,t120,1
82,1544882860.1243238,002020,1544882859,596,0,0,0,0.0,0,0,0,t120,1
83,1544882861.165447,002020,1544882860,597,0,0,0,0.0,0,0,0,t120,1
84,1544882862.2130377,002020,1544882861,598,0,0,0,0.0,0,0,0,t120,1
85,1544882863.2518623,002020,1544882862,599,0,0,0,0.0,0,0,0,t120,1
86,1544882864.2958,002020,1544882863,600,0,0,0,0.0,0,0,0,t120,1
87,1544882865.3396134,002020,1544882864,601,0,0,0,0.0,0,0,0,t120,1
88,1544882866.3782046,002020,1544882865,602,0,0,0,0.0,0,0,0,t120,1
89,1544882867.410863,002020,1544882866,603,0,0,0,0.0,0,0,0,t120,1
90,1544882868.4518573,002020,1544882867,604,0,0,0,0.0,0,0,0,t120,1
91,1544882869.4988832,002020,1544882868,605,0,0,0,0.0,0,0,0,t120,1
92,1544882870.5476277,002020,1544882869,606,0,0,0,0.0,0,0,0,t120,1
93,1544882871.587193,002020,1544882870,607,0,0,0,0.0,0,0,0,t120,1
94,1544882872.6214247,002020,1544882871,608,0,0,0,0.0,0,0,0,t120,1
95,1544882873.6630402,002020,1544882872,609,0,0,0,0.0,0,0,0,t120,1
96,1544882874.7048337,002020,1544882873,610,0,0,0,0.0,0,0,0,t120,1
97,1544882875.7397952,002020,1544882874,611,0,0,0,0.0,0,0,0,t120,1
98,1544882876.7700112,002020,1544882875,612,0,0,0,0.0,0,0,0,t120,1
99,1544882877.8042994,002020,1544882876,613,0,0,0,0.0,0,0,0,t120,1
100,1544882878.8412905,002020,1544882878,615,0,0,0,0.0,0,0,0,t120,1
101,1544882880.0613642,002020,1544882879,616,0,0,0,0.0,0,0,0,t120,1
102,1544882881.1650379,002020,1544882880,617,0,0,0,0.0,0,0,0,t120,1
103,1544882882.1987085,002020,1544882881,618,0,0,0,0.0,0,0,0,t120,1
104,1544882883.2396307,002020,1544882882,619,0,0,0,0.0,0,0,0,t120,1
105,1544882884.2801871,002020,1544882883,620,0,0,0,0.0,0,0,0,t120,1
106,1544882885.3150098,002020,1544882884,621,0,0,0,0.0,0,0,0,t120,1
107,1544882886.3487406,002020,1544882885,622,0,0,0,0.0,0,0,0,t120,1
108,1544882887.3866315,002020,1544882886,623,0,0,0,0.0,0,0,0,t120,1
109,1544882888.4304972,002020,1544882887,624,0,0,0,0.0,0,0,0,t120,1
110,1544882890.2413743,002020,1544882889,626,0,0,0,0.0,0,0,0,t120,1
111,1544882891.2805302,002020,1544882890,627,0,0,0,0.0,0,0,0,t120,1
112,1544882892.315377,002020,1544882891,628,0,0,0,0.0,0,0,0,t120,1
113,1544882893.355572,002020,1544882892,629,0,0,0,0.0,0,0,0,t120,1
114,1544882894.3943925,002020,1544882893,630,0,0,0,0.0,0,0,0,t120,1
115,1544882895.4300804,002020,1544882894,631,0,0,0,0.0,0,0,0,t120,1
116,1544882896.4768667,002020,1544882895,632,0,0,0,0.0,0,0,0,t120,1
117,1544882897.5205836,002020,1544882896,633,0,0,0,0.0,0,0,0,t120,1
118,1544882898.5776756,002020,1544882897,634,0,0,0,0.0,0,0,0,t120,1
119,1544882899.620397,002020,1544882898,635,0,0,0,0.0,0,0,0,t120,1
120,1544882900.6591783,002020,1544882899,636,0,0,0,0.0,0,0,0,t120,1
121,1544882901.7037852,002020,1544882900,637,0,0,0,0.0,0,0,0,t120,1
122,1544882902.7389863,002020,1544882901,638,0,0,0,0.0,0,0,0,t120,1
123,1544882903.775367,002020,1544882902,639,0,0,0,0.0,0,0,0,t120,1
124,1544882904.8148117,002020,1544882903,640,0,0,0,0.0,0,0,0,t120,1
125,1544882905.8542266,002020,1544882905,642,0,0,0,0.0,0,0,0,t120,1
126,1544882906.8984892,002020,1544882906,643,0,0,0,0.0,0,0,0,t120,1
127,1544882907.9362872,002020,1544882907,644,0,0,0,0.0,0,0,0,t120,1
128,1544882909.7642891,002020,1544882908,645,0,0,0,0.0,0,0,0,t120,1
129,1544882910.8012748,002020,1544882909,646,0,0,0,0.0,0,0,0,t120,1
130,1544882911.838128,002020,1544882910,647,0,0,0,0.0,0,0,0,t120,1
131,1544882912.8831596,002020,1544882912,649,0,0,0,0.0,0,0,0,t120,1
132,1544882913.9277005,002020,1544882913,650,0,0,0,0.0,0,0,0,t120,1
133,1544882914.9685254,002020,1544882914,651,0,0,0,0.0,0,0,0,t120,1
134,1544882916.0027657,002020,1544882915,652,0,0,0,0.0,0,0,0,t120,1
135,1544882917.0332224,002020,1544882916,653,0,0,0,0.0,0,0,0,t120,1
136,1544882918.1070654,002020,1544882917,654,0,0,0,0.0,0,0,0,t120,1
137,1544882919.1750646,002020,1544882918,655,0,0,0,0.0,0,0,0,t120,1
138,1544882920.2218776,002020,1544882919,656,0,0,0,0.0,0,0,0,t120,1
139,1544882921.2665641,002020,1544882920,657,0,0,0,0.0,0,0,0,t120,1
140,1544882922.3013322,002020,1544882921,658,0,0,0,0.0,0,0,0,t120,1
141,1544882923.339528,002020,1544882922,659,0,0,0,0.0,0,0,0,t120,1
142,1544882924.3722606,002020,1544882923,660,0,0,0,0.0,0,0,0,t120,1
143,1544882925.4061637,002020,1544882924,661,0,0,0,0.0,0,0,0,t120,1
144,1544882926.443302,002020,1544882925,662,0,0,0,0.0,0,0,0,t120,1
145,1544882927.4965847,002020,1544882926,663,0,0,0,0.0,0,0,0,t120,1
146,1544882928.534529,002020,1544882927,664,0,0,0,0.0,0,0,0,t120,1
147,1544882929.572957,002020,1544882928,665,0,0,0,0.0,0,0,0,t120,1
148,1544882930.617532,002020,1544882929,666,0,0,0,0.0,0,0,0,t120,1
